NAME:,idan_walk_2,,
EXPERIMENT TIME:,Thu Jun 01 11:48:04 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
29.39368243,-7.77,-4.04,-3.84
29.47756851,-7.26,-1.02,-3.26
29.57823181,-8.36,-0.9,-2.16
29.64534067,-8.71,-0.71,-1.37
29.74600397,-13.81,-3.02,-2.63
29.81311283,-15.02,-0.27,-4.24
29.8886103,-11.22,-1.65,-8
30.02282803,-11.06,-5.49,-3.22
30.0899369,-6.75,-0.47,-3.37
30.16543437,-8.16,-2.67,-2.86
30.21576602,-7.57,-3.73,-1.41
30.2996521,-9.3,-2.9,-2.63
30.38353818,-11.49,-5.33,-0.78
30.46742426,-11.38,-9.61,-5.1
30.52614451,-6.55,-3.33,-8.36
30.6184192,-11.92,-5.14,-5.22
30.7190825,-6.16,-2.75,-3.41
30.78619136,-7.61,-0.27,-2.63
30.91202048,-8.08,-0.16,-1.45
30.98751795,-9.61,-2.55,-3.77
31.05462682,-11.22,-1.61,0.12
31.11334707,-16.59,-1.18,-6.55
31.18045594,-9.1,-4.43,-4.79
31.27273062,-9.89,-1.96,-3.57
31.33983949,-7.77,-2.9,-3.06
31.42372557,-8.71,-3.69,-2.24
31.49083443,-8.59,-3.18,-1.69
31.59149773,-10.67,-2.86,-3.22
31.6669952,-10,-4.63,-0.31
31.74249267,-15.89,-11.34,-8.16
31.88509901,-8.16,-1.41,-5.22
31.95220787,-7.37,-4.16,-5.33
32.01931674,-7.49,-2.55,-4.55
32.0864256,-8.59,-0.71,-3.69
32.14514586,-9.34,-0.71,-1.33
32.23742054,-9.22,-2.94,-2.82
32.32969523,-11.45,-2.75,-0.2
32.38841549,-16.95,-1.22,-8.39
32.48069018,-11.61,-2.98,-4.08
32.55618765,-6.79,-0.86,-4.12
32.69879398,-7.77,-2.94,-3.3
32.76590285,-9.26,-3.53,-2.24
32.83301171,-8.43,-3.33,-1.61
32.90012058,-11.57,-4.71,-3.18
32.96722944,-8.94,-5.33,-1.26
33.04272691,-12.32,-8.43,-6.28
33.12661299,-12.16,-2.63,-4.55
33.21888768,-6.71,-4.47,-4.79
33.28599654,-7.49,-0.55,-3.88
33.36988262,-8.55,-0.63,-1.8
33.43699149,-9.81,-1.65,-1.37
33.52087757,-12.12,-3.41,-2.16
33.61315226,-13.96,-1.26,-3.8
33.73898138,-13.3,-1.57,-8.59
33.81447885,-12.47,-4.35,-2.82
33.88158771,-8.28,-0.86,-3.33
33.95708518,-7.1,-3.45,-2.82
34.01580544,-7.26,-3.02,-1.77
34.09969152,-8.83,-3.37,-2.51
34.17518899,-10.67,-5.06,-2.86
34.25068646,-11.81,-6.55,-3.57
34.77078016,-9.41,-6.55,-6.32
35.29926246,-15.22,-1.49,-2.94
35.31603968,-7.3,-4.51,-3.84
35.32442829,-7.73,-1.18,-3.45
35.32442829,-8.36,-0.9,-11.02
35.3412055,-7.77,-2.79,-2.43
35.39153715,-8.83,-3.3,-2.59
35.49220045,-10.87,-4.51,-3.06
35.56769792,-12.04,-5.41,-4.39
35.71869286,-8.47,-4.79,-7.61
35.85291059,-12.28,-3.02,-4.43
35.8612992,-6.12,-3.8,-3.84
35.90324224,-7.41,-0.47,-2.94
35.9619625,-9.22,-0.55,-1.8
36.06262579,-9.53,-1.69,-2.16
36.11295744,-13.77,-1.84,-2.71
36.20523213,-14,0.31,-4.35
36.29750682,-12.55,-1.96,-8.24
36.35622707,-11.49,-4.86,-3.45
36.46527898,-7.3,-0.67,-3.49
36.53238784,-7.34,-3.3,-3.37
36.5994967,-7.57,-3.41,-2.47
36.67499418,-9.41,-3.06,-2.39
36.81760051,-10.75,-4.71,-2.35
36.89309798,-10.04,-6.2,-3.1
36.92665242,-8.67,-7.73,-7.96
37.0189271,-16.51,-2.82,-2.39
37.10281318,-6.51,-2.9,-3.77
37.16153344,-6.94,-0.67,-3.1
37.25380813,-8.43,-1.02,-2.71
37.34608282,-9.02,-0.71,-3.14
37.42158029,-12.71,-1.33,-2.12
37.55579802,-14.32,2.82,-6.47
37.63129549,-7.73,-2.16,-8.55
37.70679296,-10.75,-3.22,-4.67
37.77390182,-6.47,-2.12,-3.1
37.8493993,-7.73,-2.94,-2.86
37.91650816,-7.88,-3.41,-1.92
37.99200563,-10.24,-3.18,-2.67
38.08428032,-9.14,-4.75,-0.9
38.14300058,-15.34,-9.3,-5.49
38.23527526,-7.85,-3.14,-7.18
38.31916134,-9.96,-3.73,-4.63
38.38627021,-5.92,-2.59,-3.3
38.52048794,-7.69,-0.04,-2.67
38.5875968,-7.92,-1.29,-2.28
38.65470566,-10.51,-1.18,-3.65
38.72181453,-10.43,-1.77,-0.2
38.797312,-15.93,0.67,-6
38.88119808,-10.51,-4.9,-4.39
38.97347277,-9.18,-1.1,-4.35
39.04058163,-8.08,-3.06,-3.45
39.12446771,-7.96,-3.69,-2.31
39.20835379,-8.12,-3.45,-1.73
39.27546266,-10.75,-2.86,-3.06
39.40968038,-9.45,-3.84,-0.2
39.48517786,-14.24,-9.69,-4.98
39.56067533,-7.65,-2.82,-6.71
39.6361728,-9.73,-4.31,-4.82
39.70328166,-6.59,-2.16,-3.37
39.77039053,-8.2,-0.39,-2.39
39.86266522,-7.96,-1.22,-1.26
39.9549399,-9.65,-3.1,-3.22
40.0556032,-10.51,0.24,-0.71
40.14787789,-16.48,-0.75,-7.92
40.18982093,-9.14,-3.3,-3.65
40.27370701,-9.53,-1.61,-4.08
40.76024627,-7.77,-2.86,-3.53
41.26356275,-8.63,-3.69,-2.43
41.28033997,-8.2,-3.22,-1.88
41.28872858,-10.79,-3.65,-3.73
41.29711718,-10.04,-3.45,0.27
41.32228301,-10.55,-0.9,-2.39
41.39778048,-11.85,-3.22,-7.77
41.48166656,-10.63,-0.31,-3.96
41.54877542,-10.12,-2.39,-5.41
41.64943872,-8.83,-1.96,-4.63
41.70815898,-9.61,-3.26,-5.26
41.80043366,-8.67,-4.12,-3.45
41.85915392,-9.14,-3.77,-3.1
41.95142861,-9.14,-3.02,-3.02
42.02692608,-9.89,-2.79,-2.31
42.11920077,-4.16,-5.1,-7.77
42.22825267,-14.59,-2.35,-6.08
42.29536154,-8,-3.3,-5.84
42.3624704,-9.34,-1.14,-4.86
42.43796787,-8.83,-2.04,-4.59
42.58057421,-8.63,-1.88,-3.33
42.61412864,-9.53,-1.53,-3.18
42.6812375,-11.69,1.84,-1.14
42.76512358,-17.22,-0.27,-9.77
42.85739827,-8.28,-1.45,-7.1
42.93289574,-10.67,-2.9,-4.75
43.00000461,-7.22,-1.73,-3.37
43.0922793,-7.81,-3.06,-3.3
43.15938816,-6.75,-3.65,-1.92
43.3019945,-9.38,-3.22,-2.59
43.36910336,-10.04,-5.26,-1.26
43.44460083,-16,-9.06,-4.2
43.50332109,-8.79,-3.06,-6.43
43.57042995,-9.61,-3.69,-4.63
43.67109325,-6.32,-2.9,-3.45
43.7298135,-7.49,0.08,-3.65
43.82208819,-8.39,-1.69,-2.2
43.89758566,-9.85,-1.06,-3.45
43.97308314,-12.43,-0.43,-0.94
44.10730086,-15.46,0.63,-6.55
44.17440973,-7.85,-3.53,-5.73
44.24151859,-9.85,-2.08,-3.96
44.30862746,-6.59,-1.33,-2.82
44.37573632,-8.04,-2.79,-2.82
44.50995405,-7.81,-3.8,-2.31
44.57706291,-10.87,-3.22,-3.26
44.63578317,-9.73,-4.2,-0.16
44.71128064,-15.14,-11.1,-8.04
44.79516672,-10.83,-2.71,-4.47
44.87066419,-9.06,-4.28,-4.28
44.94616166,-6.51,-1.8,-3.65
45.07199078,-7.61,-0.78,-3.02
45.14748826,-8.51,-1.06,-2.51
45.21459712,-10.75,-1.96,-3.26
45.28170598,-12.87,-1.88,-0.71
45.34881485,-16.55,0.75,-6.9
45.48303258,-7.49,-3.77,-5.06
45.53336422,-10.43,-1.02,-3.41
45.60047309,-7.49,-2.51,-3.45
45.68435917,-7.45,-3.02,-2.75
45.76824525,-7.85,-3.69,-2
45.83535411,-10.75,-4.24,-2.63
45.91924019,-9.34,-4.47,-0.67
46.0282921,-12.94,-9.53,-6.12
46.09540096,-5.02,-2.94,-7.88
46.17089843,-10.32,-4.63,-4.28
46.2380073,-6.9,-2.43,-3.22
46.74132378,-7.45,-1.02,-3.02
47.24464026,-7.49,-0.08,-2.59
47.27819469,-11.14,-1.14,-3.8
47.2865833,-10.87,-2.2,-0.31
47.2865833,-19.73,2.63,-17.34
47.32013773,-14.87,-7.49,-6.16
47.37046938,-11.89,-2.55,-3.69
47.47113267,-7.06,-3.77,-4
47.54663014,-6.16,-0.86,-2.98
47.63890483,-8.36,-0.04,-1.53
47.69762509,-8.59,-1.45,-1.26
47.78151117,-13.73,-3.49,-2.59
47.87378586,-15.38,0.9,-4.43
47.94928333,-11.3,-2.86,-8.51
48.08350106,-11.49,-4.12,-2.55
48.15060992,-6.67,0.43,-2.67
48.22610739,-6.79,-2.79,-2.9
48.36032512,-6.71,-3.92,-2.08
48.36871373,-9.96,-3.84,-2.79
48.42743398,-9.22,-4.75,-0.43
48.52809728,-13.73,-9.61,-5.73
48.61198336,-8.36,-2.51,-7.57
48.67070362,-10.51,-4.59,-4.55
48.78814413,-5.49,-2.67,-3.41
48.85525299,-7.37,-1.45,-2.47
48.91397325,-7.34,0.31,-2.28
49.05657958,-11.85,-1.41,-3.57
49.12368845,-10.71,-1.06,-0.55
49.19079731,-18.36,-0.47,-7.92
49.26629478,-11.26,-2.55,-4
49.33340365,-9.45,-0.43,-4.31
49.40890112,-6.86,-3.33,-3.22
49.4927872,-8.36,-2.51,-2.71
49.55989606,-8.63,-3.1,-2.51
49.66055936,-11.49,-3.88,-3.45
49.72766822,-9.41,-3.49,-0.24
49.86188595,-15.42,-8.36,-6.04
49.92899482,-13.34,-2.24,-5.06
49.99610368,-9.34,-4.12,-4.59
50.07160115,-7.14,-1.49,-3.26
50.16387584,-8.16,-0.63,-2.79
50.2309847,-8.79,-1.33,-1.84
50.29809357,-10.43,-2.63,-2.98
50.39036826,-11.1,-2,-0.39
50.45747712,-14.2,1.77,-6.55
50.54975181,-10.36,-3.1,-8.36
50.62524928,-10.55,-2.71,-3.65
50.69235814,-6.39,0.59,-3.57
50.83496448,-8.24,-3.61,-3.73
50.91046195,-8.43,-3.77,-2.71
50.97757082,-7.96,-3.41,-1.96
51.03629107,-10.12,-4.2,-2.55
51.12017715,-9.85,-5.02,-1.92
51.19567462,-10.2,-4.59,-6.35
51.2795607,-13.34,-1.92,-3.88
51.37183539,-7.37,-5.06,-4.47
51.43055565,-7.73,0.16,-3.1
51.52283034,-9.14,-1.49,-2.51
51.5899392,-9.02,-1.26,-2.43
51.68221389,-11.49,-2.2,-1.29
51.79126579,-11.89,1.69,-4.39
51.84998605,-12.04,0.24,-7.37
51.92548352,-13.3,-3.88,-2.71
52.00098099,-6.2,-0.47,-3.53
52.13519872,-7.81,-2.63,-2.98
52.19391898,-7.26,-4.04,-1.77
52.25263923,-9.57,-2.82,-2.47
52.73078989,-11.06,-4.9,-2.24
53.22571776,-12.47,-6.32,-4.75
53.25927219,-7.06,-6.08,-7.06
53.27604941,-14.71,-2.86,-2.9
53.28443802,-6.86,-4.12,-11.46
53.30960384,-6.71,-2.43,-2.82
53.39348992,-7.53,-2.75,-2.86
53.45221018,-7.26,-3.18,-2.39
53.55287347,-10.2,-3.26,-2.43
53.61159373,-10,-4.55,-0.78
53.76258867,-16.2,-9.57,-6.12
53.82969754,-10,-1.96,-7.45
53.8968064,-9.06,-4.59,-4.04
53.96391526,-6.71,-1.53,-3.3
54.03102413,-7.14,-0.63,-2.98
54.12329882,-8.24,-1.84,-2.04
54.19879629,-11.69,-1.02,-2.98
54.28268237,-10.83,0.08,-2.2
54.34140262,-15.65,-0.04,-8.32
54.44206592,-10.83,-5.1,-2.67
54.50917478,-6.67,0.08,-3.77
54.6350039,-8,-2.79,-3.37
54.70211277,-7.41,-4.12,-1.96
54.76922163,-9.22,-2.79,-2.2
54.92021658,-10.63,-4.79,-3.26
54.92860518,-8.98,-6.67,-3.18
54.98732544,-8.43,-7.41,-7.02
55.08798874,-14.47,-1.96,-3.53
55.17187482,-7.85,-5.3,-3.88
55.23898368,-6.75,-0.31,-3.49
55.32286976,-8.2,-1.02,-2.2
55.39836723,-8.67,-1.92,-1.33
55.49064192,-11.65,-3.37,-2.35
55.61647104,-13.3,0.12,-4.35
55.6751913,-12.12,-1.02,-7.96
