"NAME:","walk_4_1"
"EXPERIMENT TIME:","2023-06-09 16:46:36"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"33.618","-0.12","-2.55","6.59"
"33.669","-0.31","-2.35","6.55"
"33.72","1.06","-5.49","10.0"
"33.771","0.75","-7.49","11.18"
"33.822","-0.2","-7.73","11.49"
"33.873","0.86","-7.92","10.87"
"33.924","1.18","-6.59","7.96"
"33.975","-1.92","-4.04","7.06"
"34.026","-0.12","-5.45","9.14"
"34.077","1.92","-4.47","6.55"
"34.128","1.29","-1.49","5.65"
"34.179","0.75","-0.51","5.22"
"34.23","2.31","-4.71","8.98"
"34.281","2.75","-6.16","10.83"
"34.332","2.16","-6.08","10.87"
"2117.6707","1.65","-6.12","11.41"
"34.486","2.35","-4.59","6.12"
"34.537","2.0","-6.0","8.36"
"34.588","0.16","-3.14","6.0"
"34.639","1.88","-4.28","5.22"
"34.69","-0.08","-2.47","6.35"
"34.741","-0.16","-2.9","8.83"
"34.792","-0.24","-4.2","11.1"
"34.843","-0.59","-5.33","9.73"
"34.894","-0.63","-7.34","11.81"
"34.945","1.02","-9.1","13.22"
"34.996","0.82","-6.39","7.61"
"35.047","-1.96","-4.94","7.77"
"2124.817","-0.31","-5.57","7.81"
"35.2","-0.04","-2.28","4.94"
"35.251","0.08","-2.55","5.73"
"35.302","2.55","-5.81","9.22"
"35.353","1.92","-5.84","10.32"
"35.404","0.71","-6.0","11.65"
"35.455","1.41","-7.22","12.67"
"35.506","2.75","-6.83","9.61"
"35.557","0.98","-5.1","6.98"
"35.608","1.26","-5.41","8.24"
"35.659","-0.47","-3.49","7.69"
"35.71","0.71","-2.75","4.12"
"35.761","-0.12","-1.69","4.43"
"35.812","0.94","-3.88","7.61"
"35.863","0.47","-5.57","11.41"
"35.914","0.12","-8.12","11.06"
"35.965","0.94","-7.81","10.08"
"36.016","3.33","-8.36","9.77"
"36.067","-0.86","-4.35","8.0"
"36.118","-2.43","-3.1","9.41"
"36.169","2.24","-5.88","7.41"
"36.22","0.71","-2.79","5.45"
"36.271","0.43","-2.43","5.84"
"36.322","1.1","-3.69","7.53"
"36.373","2.35","-5.77","10.4"
"36.424","1.77","-5.53","10.36"
"36.475","1.49","-6.08","11.3"
"2139.0996","3.49","-6.98","10.36"
"37.367","0.0","-1.61","5.3"
"37.418","2.28","-5.53","9.41"
"37.469","1.8","-5.45","10.4"
"37.52","2.2","-7.57","12.24"
"37.571","2.2","-7.22","11.49"
"37.622","3.26","-6.04","7.65"
"37.673","1.29","-6.67","8.59"
"37.724","1.61","-6.98","8.51"
"37.775","2.31","-5.65","6.47"
"37.826","0.82","-3.06","5.37"
"37.877","0.35","-1.84","5.06"
"37.928","0.55","-4.35","7.3"
"37.979","3.1","-8.12","11.53"
"38.03","1.96","-7.3","8.51"
"2154.6492","0.9","-5.84","8.16"
"38.184","2.86","-6.2","5.84"
"38.235","-1.41","-4.67","8.43"
"38.286","3.1","-7.37","7.57"
"38.337","0.43","-3.1","5.96"
"38.388","0.51","-2.28","5.49"
"38.439","0.86","-1.65","4.98"
"38.49","2.43","-4.43","7.92"
"38.541","4.12","-7.14","9.3"
"38.592","1.92","-7.88","12.28"
"38.643","2.43","-7.85","11.06"
"38.694","3.02","-6.55","8.59"
"2161.2888","1.77","-5.69","7.14"
"38.847","0.78","-4.04","6.12"
"38.898","0.24","-2.86","4.79"
"38.949","0.75","-3.33","5.41"
"39.0","0.39","-4.24","8.28"
"39.051","1.61","-7.45","10.94"
"39.102","0.86","-8.16","10.12"
"39.153","0.82","-7.22","9.34"
"39.204","2.47","-7.77","10.16"
"39.255","2.0","-6.16","7.18"
"39.306","-1.8","-3.49","7.14"
"39.357","1.61","-5.37","6.43"
"39.408","1.37","-3.96","5.84"
"39.459","1.26","-2.82","5.06"
"39.51","0.63","-1.8","4.82"
"39.561","3.26","-6.67","8.98"
"39.612","2.35","-6.32","10.47"
"39.663","2.04","-7.53","12.28"
"39.714","3.57","-8.87","11.14"
"39.765","2.94","-5.69","7.22"
"39.816","1.02","-5.26","6.86"
"39.867","2.04","-5.73","6.43"
"39.918","0.31","-1.92","3.26"
"39.969","1.53","-3.96","7.06"
"40.02","0.55","-3.26","6.2"
"40.071","0.82","-5.06","8.75"
"40.122","0.71","-6.12","9.61"
"40.173","1.33","-7.65","9.81"
"2176.08","2.31","-9.18","11.41"
"40.326","-0.27","-5.37","7.37"
"40.377","-1.06","-3.88","7.57"
"40.428","0.39","-3.41","5.92"
"40.479","0.55","-2.71","5.49"
"40.53","1.69","-3.41","6.71"
"40.581","1.8","-3.84","7.92"
"40.632","4.43","-7.49","9.26"
"40.683","1.53","-5.1","9.92"
"40.734","2.94","-8.04","11.53"
"40.785","4.47","-7.53","9.1"
"40.836","2.63","-4.59","6.04"
"40.887","2.79","-6.32","7.53"
"40.938","1.96","-4.67","5.26"
"40.989","0.2","-3.3","6.24"
"41.04","0.67","-3.49","5.96"
"41.091","0.39","-3.33","7.02"
"41.142","0.2","-3.57","8.36"
"41.193","0.2","-5.06","10.36"
"41.244","1.33","-8.08","12.16"
"41.295","5.06","-10.16","10.98"
"41.346","1.26","-5.1","6.71"
"41.397","-0.98","-4.47","8.83"
"41.448","0.75","-4.82","6.71"
"41.499","1.57","-3.73","4.82"
"41.55","0.12","-2.82","6.16"
"41.601","0.78","-3.61","6.94"
"41.652","2.98","-6.98","10.24"
"41.703","1.92","-6.08","9.89"
"41.754","2.39","-6.75","10.12"
"41.805","2.51","-6.32","9.61"
"41.856","3.45","-6.04","8.0"
"41.907","0.9","-5.45","8.04"
"41.958","1.77","-6.67","7.92"
"42.009","0.16","-3.84","6.39"
