"NAME: ","wal_1_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:35:29"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","100"

"Time[sec]","ACC X","ACC Y","ACC Z"
"55.3","-5.61","3.84","1.65"
"55.4","-6.67","3.06","2.31"
"55.5","-8.75","3.41","2.75"
"55.6","-9.61","5.45","3.96"
"55.7","-9.26","6.04","3.06"
"55.8","-8.75","5.53","1.06"
"55.9","-6.43","3.26","1.10"
"56.0","-6.98","3.61","0.94"
"56.1","-8.98","5.84","1.45"
"56.2","-9.45","7.02","2.35"
"56.3","-8.20","6.55","1.61"
"56.4","-6.86","4.20","1.92"
"56.5","-6.55","3.41","1.96"
"56.6","-8.08","3.37","2.35"
"56.7","-9.65","5.84","2.82"
"56.8","-10.90","6.94","2.31"
"56.9","-8.43","5.49","0.59"
"57.0","-7.06","4.86","0.63"
"57.1","-7.18","3.84","0.86"
"57.2","-7.61","3.45","1.41"
"57.3","-8.83","5.06","1.65"
"57.4","-10.04","7.02","1.73"
"57.5","-8.39","7.53","2.24"
"57.6","-6.98","4.71","1.69"
"57.7","-6.35","3.49","1.45"
"57.8","-7.41","3.65","2.08"
"57.9","-8.79","5.37","2.24"
"58.0","-10.16","7.65","1.73"
"58.1","-8.71","6.32","0.78"
"58.2","-6.98","4.82","0.51"
"58.3","-6.94","4.35","0.90"
"58.4","-7.57","3.61","1.33"
