NAME:,run_5_1,,
EXPERIMENT TIME:,Thu Jun 01 21:51:35 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,133,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
43.29360589,4.55,0.67,-0.51
43.39426918,-2.55,-0.98,-2.04
43.46976666,-7.45,-1.45,-5.84
43.55365274,-20.01,1.96,-11.61
43.63753882,-20.01,1.84,-9.22
43.70464768,-6.63,2.43,-1.8
43.78014515,-3.14,-1.29,0.43
43.86403123,-1.73,3.61,-2.04
43.9395287,-11.77,-1.61,-14.87
44.040192,-20.01,4.16,-8.87
44.11568947,-20.01,1.29,-7.3
44.19118694,-2.59,-0.43,-1.26
44.65256038,-0.31,1.53,0.43
44.72805786,-1.69,0.9,-1.37
44.74483507,-16.16,2.2,-10.12
44.76161229,-20.01,-4.35,-8.83
44.7783895,-14.47,1.41,-7.14
44.78677811,-2.9,1.26,1.45
44.84549837,-1.33,1.14,-1.61
44.85388698,-3.77,1.49,-3.49
44.92938445,-18.67,-1.26,-12.32
44.99649331,-20.01,3.26,-10.79
45.07199078,-8.83,0.39,-5.45
45.14748826,4.28,5.14,-1.26
45.23976294,-1.41,-1.29,-2.04
45.32364902,-12.43,-1.49,-8.2
45.42431232,-20.01,4.55,-10.63
45.49142118,-19.53,4.51,-9.85
45.56691866,-3.69,-0.43,-0.67
45.65919334,-3.26,-0.24,1.14
45.72630221,0.24,2.24,-2.63
45.81018829,-18.4,-1.53,-10.36
45.90246298,-20.01,4.71,-11.02
45.97796045,-12.87,-1.33,-5.22
46.07023514,1.41,1.61,-0.55
46.12895539,0.27,-1.65,-0.86
46.21284147,-5.3,0.31,-3.49
46.29672755,-20.01,3.3,-11.06
46.39739085,-20.01,0.75,-8.32
46.4561111,-3.45,0.12,-3.49
46.53160858,-2.04,1.14,0.9
46.60710605,-1.88,0.2,-1.02
46.67421491,-9.38,2.2,-13.49
46.75810099,-20.01,-1.26,-10.04
46.85876429,-20.01,-0.16,-7.69
46.95103898,-2.82,-0.35,-0.67
47.06847949,-0.2,2,0.67
47.16075418,-1.22,1.92,-2.75
47.21947443,-14.75,0.59,-13.65
47.26980608,-20.01,-1.14,-9.57
47.32013773,-16.08,1.8,-8.63
47.41241242,1.57,0.24,1.14
47.52146432,-2.47,2.47,-1.84
47.58857318,-0.67,0,-3.18
47.67245926,-20.01,-0.71,-8.47
47.76473395,-20.01,3.53,-9.38
47.84862003,-11.85,2.82,-3.49
47.93250611,4.08,-1.41,0
48.01639219,-1.41,-2.28,-5.22
48.09188966,-9.1,-1.06,-4.67
48.14222131,-19.53,0.27,-7.1
48.21771878,-20.01,3.33,-10.16
48.30160486,-8.08,3.1,-2.08
48.39387955,0.55,-1.77,1.57
48.51132006,0.16,3.57,0.98
48.59520614,-14.04,-3.77,-10.59
48.64553779,-20.01,-0.86,-8.2
48.72942387,-20.01,-5.06,-7.3
48.80492134,-4.08,-0.24,-0.08
48.89719603,-0.86,2.12,0.24
48.9643049,-2.39,1.73,-2.04
