NAME:,matan r 2,,
EXPERIMENT TIME:,Thu Jun 01 12:45:58 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,163,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
55.94362675,20.01,3.49,-15.14
56.00234701,17.26,7.92,-9.73
56.08623309,5.53,-2.43,-1.84
56.17011917,-6.94,-5.1,-1.77
56.25400525,1.18,-0.9,-4.16
56.34627994,20.01,-7.81,-20.01
56.40500019,14.75,-2.43,-8.24
56.48888627,-7.37,1.18,-2.47
56.56438374,-1.02,2.86,-3.8
56.69021286,17.93,4.24,-12.51
57.16836352,17.61,4.12,-3.88
57.67168,5.88,-0.55,-3.06
57.72201165,-6.79,-5.14,-1.96
57.72201165,0.59,-1.33,-5.41
57.73040026,20.01,-5.45,-20.01
57.74717747,0.24,0.35,-4.86
57.78912051,20.01,-7.06,-20.01
57.86461798,13.93,0.35,-7.77
57.95689267,-6.32,1.61,-0.24
58.04077875,-3.26,2.08,-2.59
58.11627622,3.96,4.43,-17.77
58.20855091,20.01,5.65,-7.61
58.29243699,6.47,-2.43,-3.69
58.36793446,-4.55,-2.08,-2.16
58.47698637,1.26,0.16,-1.53
58.54409523,20.01,-4.43,-20.01
58.6112041,15.81,0.94,-7.61
58.67831296,1.22,0.16,-3.84
58.77058765,-4.98,2.79,-2.98
58.85447373,2.9,4.28,-5.45
58.92158259,20.01,10.2,-14.95
59.00546867,11.65,-3.45,-6.67
59.08935475,-4.2,-0.2,-2.2
59.18162944,-2.12,-0.27,-1.8
59.2403497,20.01,-1.73,-12.75
59.31584717,16.16,-0.2,-7.65
59.44167629,3.69,0.67,-5.1
59.50878515,-8.24,4.08,-3.53
59.57589402,3.06,3.18,-2.67
59.64300288,19.93,5.37,-20.01
59.72688896,12.91,1.8,-7.53
59.81077504,1.96,-0.31,-2.08
59.90304973,-4.2,-3.84,-2.98
59.98693581,4.24,-10.16,-14.4
60.07082189,17.53,2.04,-10.24
60.12954214,11.1,2.12,-5.65
60.21342822,-8.12,1.77,-1.96
60.31409152,-0.24,1.18,-2.82
60.38958899,11.18,1.22,-16.87
60.45669786,16.12,3.33,-8.51
60.59091558,11.77,1.41,-4.9
60.64124723,-8.59,-1.33,-3.3
60.7083561,0.59,-0.75,-3.3
