NAME:,walk arbel.csv,,
EXPERIMENT TIME:,18/06/2023 9:36,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,104,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
62.630005,0.16,0.35,-8.2
62.729996,0.82,-0.27,-9.96
62.839996,1.92,0,-9.81
62.940002,1.57,-0.2,-12.4
63.039993,0.51,-0.78,-13.77
63.14,0.63,-0.24,-9.65
63.240005,0.39,-0.51,-8.59
63.350006,0.47,0.86,-9.61
63.449997,2.16,0.39,-10.2
63.550003,0.86,0.27,-11.57
63.649994,2.08,-0.94,-13.06
63.75,0.39,-0.27,-8.94
63.86,0.12,0.08,-10.59
63.95999,1.73,-0.24,-10.36
64.06,-0.43,-0.86,-9.38
64.16,2.04,0.24,-10.04
64.259995,1.37,-0.67,-11.96
